iter	RMSE
0	15.68461352
1	15.41936638
2	15.14216285
3	14.86542419
4	14.62601778
5	14.40181817
6	14.17190831
7	13.96954909
8	13.71092332
9	13.46163756
10	13.224235
11	12.99486663
12	12.81720609
13	12.6279036
14	12.40779927
15	12.22678815
16	12.06519609
17	11.89126998
18	11.70120936
19	11.50713823
20	11.37794495
21	11.20245356
22	11.03041203
23	10.86071574
24	10.70034643
25	10.53648576
26	10.38963516
27	10.24910409
28	10.11088032
29	9.979304591
30	9.837111844
31	9.724363615
32	9.59569081
33	9.455910536
34	9.331037076
35	9.231821284
36	9.108680066
37	9.008840379
38	8.882235831
39	8.794388831
40	8.675686177
41	8.545158992
42	8.461333642
43	8.359946563
44	8.249083781
45	8.14864248
46	8.086571056
47	8.008206259
48	7.930359938
49	7.833618751
50	7.766221654
51	7.682552052
52	7.601365017
53	7.527354665
54	7.44277442
55	7.357933458
56	7.29271229
57	7.224659764
58	7.162353956
59	7.092627619
60	7.023999193
61	6.962792232
62	6.895779792
63	6.822508721
64	6.772145257
65	6.711430238
66	6.658663015
67	6.599854223
68	6.554353552
69	6.510559287
70	6.460926358
71	6.410651383
72	6.360930856
73	6.315906363
74	6.275024595
75	6.226653874
76	6.188989347
77	6.140471572
78	6.092915588
79	6.061268965
80	6.025175991
81	5.985777089
82	5.95226061
83	5.90777753
84	5.877599887
85	5.83745151
86	5.800547025
87	5.780131263
88	5.742548546
89	5.708423116
90	5.67414709
91	5.639017462
92	5.613431642
93	5.589836725
94	5.56185484
95	5.538751727
96	5.510066225
97	5.488353242
98	5.457606408
99	5.429725954
100	5.403040769
101	5.373623092
102	5.35089581
103	5.320073933
104	5.286984319
105	5.256888373
106	5.238244365
107	5.215876125
108	5.192321277
109	5.162278379
110	5.137004797
111	5.112777307
112	5.091006548
113	5.071776581
114	5.055247914
115	5.033914197
116	5.01832129
117	4.996231499
118	4.972183974
119	4.953105675
120	4.936163657
121	4.923397119
122	4.904529361
123	4.888856046
124	4.868826384
125	4.846266058
126	4.832631936
127	4.817320571
128	4.804334047
129	4.788267576
130	4.774295029
131	4.758084472
132	4.740986295
133	4.725248068
134	4.712885413
135	4.694711234
136	4.682347116
137	4.669757319
138	4.658523182
139	4.642829511
140	4.632189121
141	4.624775204
142	4.611426343
143	4.59447577
144	4.578983373
145	4.561796475
146	4.554425671
147	4.542371056
148	4.535290828
149	4.524998281
150	4.508353091
151	4.497141234
152	4.482420778
153	4.472139016
154	4.463927375
155	4.452140185
156	4.436009052
157	4.425073976
158	4.414608101
159	4.398916715
160	4.391139278
161	4.377845049
162	4.359597818
163	4.345620126
164	4.333017457
165	4.320427609
166	4.303355397
167	4.294026385
168	4.27673724
169	4.264581895
170	4.253431981
171	4.246142362
172	4.240500295
173	4.237395472
174	4.222461395
175	4.216204938
176	4.206105094
177	4.193125613
178	4.183305061
179	4.177090569
180	4.170049286
181	4.153890676
182	4.144181722
183	4.135875017
184	4.127095408
185	4.116510182
186	4.106139806
187	4.097066808
188	4.082607846
189	4.076626545
190	4.067989667
191	4.059774876
192	4.050387463
193	4.042640397
194	4.027670054
195	4.018271852
196	4.009346395
197	4.002826985
198	3.993155782
199	3.982297378
200	3.970805004
201	3.96171677
202	3.949620713
203	3.942596454
204	3.936047742
205	3.927428801
206	3.919397255
207	3.913787165
208	3.908425528
209	3.902280628
210	3.892102104
211	3.881515234
212	3.876675415
213	3.870471435
214	3.858363271
215	3.845704059
216	3.841042117
217	3.836306787
218	3.829559314
219	3.825794699
220	3.817291012
221	3.809256188
222	3.802017856
223	3.793214768
224	3.786345751
225	3.774702847
226	3.764108215
227	3.757516892
228	3.754547071
229	3.750179593
230	3.744592768
231	3.739307774
232	3.72825534
233	3.717898088
234	3.707092341
235	3.696890313
236	3.691544416
237	3.683988702
238	3.679171037
239	3.671885078
240	3.6670771
241	3.662174428
242	3.652047737
243	3.64442604
244	3.639162497
245	3.627730031
246	3.625183417
247	3.613354417
248	3.61099806
249	3.606344032
250	3.60092897
251	3.597906358
252	3.591058496
253	3.58122527
254	3.575052918
255	3.566175753
256	3.557472534
257	3.549261079
258	3.542839986
259	3.537013323
260	3.530319446
261	3.524826432
262	3.519409986
263	3.510400293
264	3.502036563
265	3.497043938
266	3.489454965
267	3.481976998
268	3.474560226
269	3.468210574
270	3.462973754
271	3.45592004
272	3.449282564
273	3.443504631
274	3.433942616
275	3.425347408
276	3.418509029
277	3.411289185
278	3.402828031
279	3.396026078
280	3.387370435
281	3.381201733
282	3.376861024
283	3.372094112
284	3.368340589
285	3.361177623
286	3.356476083
287	3.350554739
288	3.34401405
289	3.337693112
290	3.329923987
291	3.323518985
292	3.319780565
293	3.315332662
294	3.311879614
295	3.30427594
296	3.297396274
297	3.291014149
298	3.28362934
299	3.279603589
300	3.269282398
301	3.264494777
302	3.256501141
303	3.251865138
304	3.251257675
305	3.244718071
306	3.241098604
307	3.23348941
308	3.228528465
309	3.224163187
310	3.212938091
311	3.210300486
312	3.207731506
313	3.201033503
314	3.198960527
315	3.192584131
316	3.188464267
317	3.183406894
318	3.1769584
319	3.171627988
320	3.165946572
321	3.16211918
322	3.156955593
323	3.153004911
324	3.146746248
325	3.139595571
326	3.130918536
327	3.12565032
328	3.122637637
329	3.119313944
330	3.113821292
331	3.10999507
332	3.103077616
333	3.096951132
334	3.09359121
335	3.091836749
336	3.085089883
337	3.079023388
338	3.073648354
339	3.066340108
340	3.05969361
341	3.057456105
342	3.052700486
343	3.045766527
344	3.039963136
345	3.036811236
346	3.032960848
347	3.027215456
348	3.021393565
349	3.014672672
350	3.009903245
351	3.008039375
352	3.002562812
353	2.998231561
354	2.995675234
355	2.993116127
356	2.987631223
357	2.985606653
358	2.980093962
359	2.976533937
360	2.973183087
361	2.963073094
362	2.956586023
363	2.949991246
364	2.946066643
365	2.94226534
366	2.938105975
367	2.931897583
368	2.92558757
369	2.921219767
370	2.916247158
371	2.907841763
372	2.905003542
373	2.901556425
374	2.895563916
375	2.890811248
376	2.887455312
377	2.883484946
378	2.877574094
379	2.872439402
380	2.867469425
381	2.86263426
382	2.857641763
383	2.851757388
384	2.84630647
385	2.843481085
386	2.838695024
387	2.833108825
388	2.828302772
389	2.823968576
390	2.818976282
391	2.816189632
392	2.814425627
393	2.80972442
394	2.805272418
395	2.800390026
396	2.79563995
397	2.78907291
398	2.781070034
399	2.779082512
400	2.77495497
401	2.769995896
402	2.766935484
403	2.763300096
404	2.756351915
405	2.752199999
406	2.748499927
407	2.743251384
408	2.738865335
409	2.731778824
410	2.727883093
411	2.722887605
412	2.720780617
413	2.716658529
414	2.714224585
415	2.712058892
416	2.709248041
417	2.705110629
418	2.701223498
419	2.696991758
420	2.692755623
421	2.691367763
422	2.688396102
423	2.683813445
424	2.680753392
425	2.677490886
426	2.672772324
427	2.67133046
428	2.668117566
429	2.660751236
430	2.656069829
431	2.651808621
432	2.645977507
433	2.643188831
434	2.640188463
435	2.637041494
436	2.629930286
437	2.626548211
438	2.623995307
439	2.619556563
440	2.615135867
441	2.610837551
442	2.603430735
443	2.598701454
444	2.593947031
445	2.588137465
446	2.584054031
447	2.579760088
448	2.577450629
449	2.575101801
450	2.568090169
451	2.565090509
452	2.561301957
453	2.552433194
454	2.550881847
455	2.547194607
456	2.543116183
457	2.53287886
458	2.528778727
459	2.521017147
460	2.516680947
461	2.511208267
462	2.507150436
463	2.504839203
464	2.501434791
465	2.4968695
466	2.492459317
467	2.489767881
468	2.485468335
469	2.483072498
470	2.478744582
471	2.474460865
472	2.472199829
473	2.469065973
474	2.466499771
475	2.464135864
476	2.463660507
477	2.462021855
478	2.458088967
479	2.454900402
480	2.449159503
481	2.445561971
482	2.442604315
483	2.438634461
484	2.436721305
485	2.433466533
486	2.431534791
487	2.429300917
488	2.421507558
489	2.417242104
490	2.41367669
491	2.411134251
492	2.404704774
493	2.400767773
494	2.395262909
495	2.390964834
496	2.390124768
497	2.385161908
498	2.379387158
499	2.373439551
500	2.36963815
501	2.366200617
502	2.36194814
503	2.358191245
504	2.352201512
505	2.348620888
506	2.347220916
507	2.346776833
508	2.339747187
509	2.336197671
510	2.333485618
511	2.329528989
512	2.326136623
513	2.321685708
514	2.315654788
515	2.313328216
516	2.311736758
517	2.307986059
518	2.303895291
519	2.301887085
520	2.298587061
521	2.295546316
522	2.294985623
523	2.290152814
524	2.28629954
525	2.285027185
526	2.280877296
527	2.27891168
528	2.27362187
529	2.272302961
530	2.26995815
531	2.26651107
532	2.263157288
533	2.26198477
534	2.258518706
535	2.254077108
536	2.250970699
537	2.247091469
538	2.2417511
539	2.23875407
540	2.235995091
541	2.23231488
542	2.228116703
543	2.222335702
544	2.219429571
545	2.216307818
546	2.213486948
547	2.209622681
548	2.207845418
549	2.204253032
550	2.202461793
551	2.197298409
552	2.196584036
553	2.193153744
554	2.191644477
555	2.188216232
556	2.186318841
557	2.182720706
558	2.181238036
559	2.175894955
560	2.172791373
561	2.172409222
562	2.164925337
563	2.16106333
564	2.157685807
565	2.154662042
566	2.151354887
567	2.147643684
568	2.144488308
569	2.143079468
570	2.138843366
571	2.137614015
572	2.134753535
573	2.13097369
574	2.127777356
575	2.124536752
576	2.121425978
577	2.118684772
578	2.118147364
579	2.114524121
580	2.109461615
581	2.108693354
582	2.104671113
583	2.101564634
584	2.097889332
585	2.094448894
586	2.091668469
587	2.089297914
588	2.088866585
589	2.081900742
590	2.08100305
591	2.079910855
592	2.078088296
593	2.076272128
594	2.072768803
595	2.069966989
596	2.069143372
597	2.066217355
598	2.064439276
599	2.061485862
600	2.05975229
601	2.059381698
602	2.05850257
603	2.055935494
604	2.055234827
605	2.053491682
606	2.049258645
607	2.048024021
608	2.046564245
609	2.043985604
610	2.040117136
611	2.038842656
612	2.034705772
613	2.031708305
614	2.030875413
615	2.025613227
616	2.023247329
617	2.022641168
618	2.020023503
619	2.015127407
620	2.011734336
621	2.009801355
622	2.006277993
623	2.003433086
624	1.998674149
625	1.99343367
626	1.993227262
627	1.990656972
628	1.990269448
629	1.987687559
630	1.986504652
631	1.982571091
632	1.982149079
633	1.979666227
634	1.976945675
635	1.972124936
636	1.970954019
637	1.969136804
638	1.967576915
639	1.966019707
640	1.961637529
641	1.959341388
642	1.957128194
643	1.9546975
644	1.952658659
645	1.949079305
646	1.94781159
647	1.942480595
648	1.941592129
649	1.940551845
650	1.938856419
651	1.93658207
652	1.934682931
653	1.9314173
654	1.927949456
655	1.926760422
656	1.923519367
657	1.920745589
658	1.920361186
659	1.919430846
660	1.919184862
661	1.917361674
662	1.912727517
663	1.912236357
664	1.909768659
665	1.90466533
666	1.902028352
667	1.896782879
668	1.894340937
669	1.891899522
670	1.887629299
671	1.883485367
672	1.881655394
673	1.879016279
674	1.87506871
675	1.872838723
676	1.870680858
677	1.869529067
678	1.867677286
679	1.865967152
680	1.86340467
681	1.861616013
682	1.859302916
683	1.856635822
684	1.855309537
685	1.85304151
686	1.850698494
687	1.848735608
688	1.846185795
689	1.841608935
690	1.839315351
691	1.837519076
692	1.837184339
693	1.835063031
694	1.83289654
695	1.830880568
696	1.829485552
697	1.82615176
698	1.821711316
699	1.817139638
700	1.813799312
701	1.813557557
702	1.811309687
703	1.809287138
704	1.80627378
705	1.804574128
706	1.8041149
707	1.801260941
708	1.799489456
709	1.798262457
710	1.795006786
711	1.790488774
712	1.788960978
713	1.787174073
714	1.785335462
715	1.784158877
716	1.782825185
717	1.781748432
718	1.780564412
719	1.776992462
720	1.773948425
721	1.772638901
722	1.769899753
723	1.765573334
724	1.764057483
725	1.76209153
726	1.760389615
727	1.757681351
728	1.755061569
729	1.754343112
730	1.752477579
731	1.750913529
732	1.748005954
733	1.743942031
734	1.742975767
735	1.738919453
736	1.735074996
737	1.731295738
738	1.727164083
739	1.725685294
740	1.723710805
741	1.721471966
742	1.718128422
743	1.713565315
744	1.709350561
745	1.707957542
746	1.705399849
747	1.702347453
748	1.699230193
749	1.696265607
750	1.694401246
751	1.692274487
752	1.690433751
753	1.687306063
754	1.684461072
755	1.682817937
756	1.67939127
757	1.674382934
758	1.672867184
759	1.670742824
760	1.669189263
761	1.666301911
762	1.666049326
763	1.664314171
764	1.661417014
765	1.660033717
766	1.658023421
767	1.655987188
768	1.652297206
769	1.650671901
770	1.649257501
771	1.647677029
772	1.645541646
773	1.644439553
774	1.644215968
775	1.642664808
776	1.641097887
777	1.63786752
778	1.635887553
779	1.63239804
780	1.630905493
781	1.628401414
782	1.626193422
783	1.625049144
784	1.623000576
785	1.62129445
786	1.619753046
787	1.617101387
788	1.615694648
789	1.614394989
790	1.610488234
791	1.606591886
792	1.605628559
793	1.60423715
794	1.601790504
795	1.599749581
796	1.596287628
797	1.59186241
798	1.590035803
799	1.588716368
800	1.586692973
801	1.58478779
802	1.583358945
803	1.580346213
804	1.579219504
805	1.578396337
806	1.577189265
807	1.575734887
808	1.574026205
809	1.57184558
810	1.570393656
811	1.568144613
812	1.566014283
813	1.565183006
814	1.564112357
815	1.560490543
816	1.559758694
817	1.557291338
818	1.555035033
819	1.553007971
820	1.551900666
821	1.550801522
822	1.549419758
823	1.548146678
824	1.547488715
825	1.546043052
826	1.543880131
827	1.542989681
828	1.539404327
829	1.536465919
830	1.534492114
831	1.52998252
832	1.528199097
833	1.525589623
834	1.522800612
835	1.518447567
836	1.517084556
837	1.514718119
838	1.512733189
839	1.51141266
840	1.508876295
841	1.505783841
842	1.502162608
843	1.498686045
844	1.498428186
845	1.498095799
846	1.493150502
847	1.491700023
848	1.486870008
849	1.485894318
850	1.484786291
851	1.484595315
852	1.483433309
853	1.480621756
854	1.479124599
855	1.478888087
856	1.475838746
857	1.474845863
858	1.47391255
859	1.472663395
860	1.472529656
861	1.472117704
862	1.46906916
863	1.467919254
864	1.466342417
865	1.465577258
866	1.46524246
867	1.461581077
868	1.459417799
869	1.458465045
870	1.457514442
871	1.456696428
872	1.454057453
873	1.452336796
874	1.448740505
875	1.447180661
876	1.444022867
877	1.442823078
878	1.440987391
879	1.440297756
880	1.438409015
881	1.435075588
882	1.433959077
883	1.432707038
884	1.432332676
885	1.430701673
886	1.427828516
887	1.427036428
888	1.424981006
889	1.424149361
890	1.423940081
891	1.422317362
892	1.420776409
893	1.420307204
894	1.418545499
895	1.417489951
896	1.416274521
897	1.415485309
898	1.414624035
899	1.413114427
900	1.41249313
901	1.411041998
902	1.410200063
903	1.40829123
904	1.405414536
905	1.404821679
906	1.402147387
907	1.400190554
908	1.399582777
909	1.397206724
910	1.394820176
911	1.393266532
912	1.389472262
913	1.388280583
914	1.387572497
915	1.386659491
916	1.386015281
917	1.385900187
918	1.383458946
919	1.382899155
920	1.38246534
921	1.381851054
922	1.380463928
923	1.375442394
924	1.374830937
925	1.373733493
926	1.371301936
927	1.369234582
928	1.367234929
929	1.366811733
930	1.365417301
931	1.363752224
932	1.361951001
933	1.361553471
934	1.359062849
935	1.356593463
936	1.356011959
937	1.354792975
938	1.353340181
939	1.350351912
940	1.347291932
941	1.346714712
942	1.345493592
943	1.34537929
944	1.343164094
945	1.341203911
946	1.339684591
947	1.339575156
948	1.339444412
949	1.338017634
950	1.336223705
951	1.335550485
952	1.333688363
953	1.332855168
954	1.332043064
955	1.330954711
956	1.329258138
957	1.326853488
958	1.32666901
959	1.325419587
960	1.325159404
961	1.323123251
962	1.32102926
963	1.319785216
964	1.318916294
965	1.317285497
966	1.317149061
967	1.315944249
968	1.314156201
969	1.312804941
970	1.312240754
971	1.311109589
972	1.310972469
973	1.309864293
974	1.30750322
975	1.305370383
976	1.304186832
977	1.301243007
978	1.29996951
979	1.297868316
980	1.297577846
981	1.294092826
982	1.29387185
983	1.29356566
984	1.2929654
985	1.292652107
986	1.29234751
987	1.29046807
988	1.288645534
989	1.288304567
990	1.286807588
991	1.285060827
992	1.284941632
993	1.283304387
994	1.282513719
995	1.280521601
996	1.280070153
997	1.276799065
998	1.275439274
999	1.27203971
