iter	Passed	Remaining
0	3	3284
1	5	2950
2	8	2824
3	10	2608
4	12	2534
5	14	2458
6	16	2382
7	18	2262
8	21	2317
9	23	2314
10	25	2264
11	26	2198
12	28	2149
13	29	2099
14	31	2047
15	32	2017
16	34	2022
17	36	1985
18	37	1939
19	38	1882
20	39	1845
21	40	1809
22	41	1776
23	42	1739
24	43	1707
25	44	1671
26	45	1645
27	46	1620
28	47	1604
29	48	1576
30	49	1549
31	50	1524
32	51	1499
33	51	1474
34	52	1452
35	53	1431
36	54	1414
37	55	1393
38	55	1372
39	56	1352
40	57	1333
41	57	1315
42	58	1297
43	58	1281
44	59	1265
45	60	1251
46	61	1240
47	61	1229
48	62	1215
49	63	1205
50	64	1192
51	64	1176
52	65	1164
53	65	1154
54	66	1143
55	67	1132
56	67	1121
57	68	1112
58	69	1104
59	69	1091
60	70	1081
61	70	1068
62	71	1059
63	71	1051
64	72	1043
65	73	1035
66	73	1028
67	74	1020
68	75	1014
69	75	1009
70	76	1006
71	77	1000
72	78	993
73	79	989
74	79	985
75	80	979
76	81	974
77	82	970
78	82	964
79	83	959
80	84	954
81	84	949
82	85	944
83	86	938
84	86	933
85	87	928
86	87	923
87	88	916
88	89	911
89	89	908
90	90	905
91	91	903
92	92	897
93	92	893
94	93	889
95	94	886
96	94	882
97	95	879
98	96	875
99	96	871
100	97	867
101	98	863
102	98	859
103	99	855
104	100	852
105	100	848
106	101	845
107	101	842
108	102	838
109	103	835
110	103	832
111	104	829
112	105	828
113	106	826
114	106	823
115	107	820
116	108	819
117	109	816
118	109	813
119	110	811
120	111	808
121	111	805
122	112	802
123	113	800
124	113	797
125	114	794
126	115	791
127	115	789
128	116	786
129	117	783
130	117	779
131	118	777
132	118	775
133	119	773
134	120	772
135	121	774
136	123	774
137	123	774
138	124	773
139	125	771
140	126	769
141	126	765
142	127	763
143	128	760
144	128	759
145	129	757
146	129	753
147	130	751
148	131	748
149	131	747
150	132	744
151	133	742
152	133	740
153	134	740
154	135	738
155	136	737
156	137	736
157	137	735
158	138	733
159	139	731
160	140	730
161	140	728
162	141	726
163	142	724
164	142	722
165	143	720
166	144	718
167	144	717
168	145	715
169	146	713
170	146	712
171	147	710
172	148	708
173	148	706
174	149	706
175	150	704
176	151	703
177	151	701
178	152	700
179	153	698
180	154	697
181	154	695
182	155	693
183	156	692
184	156	690
185	157	688
186	158	687
187	158	685
188	159	683
189	159	682
190	160	680
191	161	679
192	162	677
193	162	676
194	163	675
195	164	674
196	165	673
197	166	672
198	166	672
199	167	671
200	168	670
201	169	669
202	170	668
203	171	667
204	171	666
205	172	665
206	173	663
207	173	662
208	174	661
209	175	659
210	176	658
211	176	656
212	177	656
213	178	655
214	179	654
215	180	653
216	180	652
217	181	651
218	182	650
219	183	649
220	183	647
221	184	646
222	185	645
223	185	644
224	186	642
225	187	641
226	187	639
227	188	638
228	189	637
